ID,KATEGORI,INTENT/TRIGGER,RESULT,Solution
KB572,General IT Support,create bizom branch wise distribution,create bizom branch wise distribution,Error generating solution.
KB573,SaaS Access,lusiwijayanti access on retool metabase,lusiwijayanti access on retool metabase,Error generating solution.
KB574,General IT Support,lastianingrumpangest macbook has no sound output,lastianingrumpangest macbook has no sound output,Error generating solution.
KB575,SaaS Access,intanmalina cant access internet due to dns error,intanmalina cant access internet due to dns error,Error generating solution.
KB576,General IT Support,esther gmail showing error 001,esther gmail showing error 001,Error generating solution.
KB577,Hardware,gyanendras laptop microphone suddenly disabled,gyanendras laptop microphone suddenly disabled,Error generating solution.
KB578,MFA,reset mfa for putrilestari due to user changing her mobile phone,reset mfa for putrilestari due to user changing her mobile phone,Error generating solution.
KB579,General IT Support,reactivated user lusi wijayanti,reactivated user lusi wijayanti,Error generating solution.
KB580,Employee Onboarding,onboarding rizky maulana,onboarding rizky maulana,Error generating solution.
KB581,Employee Offboarding,offboarding ivan yulianto,offboarding ivan yulianto,Error generating solution.
KB582,Employee Offboarding,offboarding wijaya sampurna,offboarding wijaya sampurna,Error generating solution.
KB583,Hardware,faulananugraha laptop got boot looped due to error in uefi boot,faulananugraha laptop got boot looped due to error in uefi boot,Error generating solution.
KB584,Employee Offboarding,offboarding puput wibowo,offboarding puput wibowo,Error generating solution.
KB585,Hardware,shakti mehra cant share his screen on microsoft teams meeting,shakti mehra cant share his screen on microsoft teams meeting,Error generating solution.
KB586,Employee Offboarding,offboarding rizky fajar,offboarding rizky fajar,Error generating solution.
KB587,Employee Offboarding,offboarding sindy ramadhini,offboarding sindy ramadhini,Error generating solution.
KB588,Employee Offboarding,offboarding dea puspitasari,offboarding dea puspitasari,Error generating solution.
KB589,Employee Offboarding,offboarding fransisko permadi,offboarding fransisko permadi,Error generating solution.
KB590,Employee Offboarding,offboarding nola cahyaningrum,offboarding nola cahyaningrum,Error generating solution.
KB591,Employee Offboarding,offboarding internalemailredacted,offboarding internalemailredacted,Error generating solution.
KB592,Employee Onboarding,onboarding achmad rhomadhoni,onboarding achmad rhomadhoni,Error generating solution.
KB593,Employee Onboarding,onboarding andriansyah,onboarding andriansyah,Error generating solution.
KB594,SaaS Access,retool access demand forecasting for eko ariwibowo,retool access demand forecasting for eko ariwibowo,Error generating solution.
KB595,MFA,reset mfa for tedytama due to user changing his mobile phone,reset mfa for tedytama due to user changing his mobile phone,Error generating solution.
KB596,SaaS Access,resetup dot matrix printer driver for bellaakhmad,resetup dot matrix printer driver for bellaakhmad,Error generating solution.
KB597,Account,reset mfa password for altriseptiyan due to user forgot his password,reset mfa password for altriseptiyan due to user forgot his password,Error generating solution.
KB598,Employee Onboarding,onboarding muh munawar,onboarding muh munawar,Error generating solution.
KB599,Employee Onboarding,onboarding tomi setyono,onboarding tomi setyono,Error generating solution.
KB600,Employee Onboarding,onboarding khairil hambali,onboarding khairil hambali,Error generating solution.
KB601,Employee Offboarding,offboarding vincent manek,offboarding vincent manek,Error generating solution.
KB602,Employee Offboarding,offboarding mochamad sugih pratama,offboarding mochamad sugih pratama,Error generating solution.
KB603,SaaS Access,hi u052ct5eq15 i can not access my meeting thru smartphone from my email address but can by my personal email please help solve the issue,hi u052ct5eq15 i can not access my meeting thru smartphone from my email address but can by my personal email please help solve the issue,Error generating solution.
KB604,Employee Onboarding,onboarding fransiskopermadi,onboarding fransiskopermadi,Error generating solution.
KB605,Employee Offboarding,offboarding ahmad idris,offboarding ahmad idris,Error generating solution.
KB606,Hardware,daniprasetyas laptop randomly freeze,daniprasetyas laptop randomly freeze,Error generating solution.
KB607,MFA,reset mfa for kevinsepti due to broken users phone,reset mfa for kevinsepti due to broken users phone,Error generating solution.
KB608,Hardware,laptop dell vostro 143000 layar screen flickering,laptop dell vostro 143000 layar screen flickering,Error generating solution.
KB609,SaaS Access,installing docker for balu chandra,installing docker for balu chandra,Error generating solution.
KB610,General IT Support,tinta warna kuning tidak keluar di ej printer,tinta warna kuning tidak keluar di ej printer,Error generating solution.
KB611,Account,reset okta password for internalemailredacted due to user forgot his password,reset okta password for internalemailredacted due to user forgot his password,Error generating solution.
KB612,Employee Onboarding,onboarding putri lestari,onboarding putri lestari,Error generating solution.
KB613,Employee Onboarding,onboarding muhammad sailendra,onboarding muhammad sailendra,Error generating solution.
KB614,Employee Onboarding,onboarding supardi,onboarding supardi,Error generating solution.
KB615,Employee Onboarding,onboarding rendryanakhofifa,onboarding rendryanakhofifa,Error generating solution.
KB616,Employee Onboarding,onboarding rudjito winata,onboarding rudjito winata,Error generating solution.
KB617,Employee Onboarding,onboarding fita septiana,onboarding fita septiana,Error generating solution.
KB618,Employee Onboarding,onboarding mahesa husein,onboarding mahesa husein,Error generating solution.
KB619,Employee Onboarding,onboarding nadya faradiba,onboarding nadya faradiba,Error generating solution.
KB620,SaaS Access,halo mas u052ct5eq15 dan tim it mohon bantuannya untuk akses retool berikut terkait demand forecasting v2 masih tidak bisa di akses mas 1 retool gtgt,halo mas u052ct5eq15 dan tim it mohon bantuannya untuk akses retool berikut terkait demand forecasting v2 masih tidak bisa di akses mas 1 retool gtgt,Error generating solution.
KB621,SaaS Access,ekoariwibowo access to metabase,ekoariwibowo access to metabase,Error generating solution.
KB622,Employee Offboarding,offboarding faizal fachrozi,offboarding faizal fachrozi,Error generating solution.
KB623,Employee Offboarding,offboarding nea ningtyas,offboarding nea ningtyas,Error generating solution.
KB624,SaaS Access,halo mas u052ct5eq15 dan tim it dikarenakan ada perlu untuk training sore ini tolong berikan akses untuk web based berikut 1 retool gtgt 2 metabase gtgt terimakasih,halo mas u052ct5eq15 dan tim it dikarenakan ada perlu untuk training sore ini tolong berikan akses untuk web based berikut 1 retool gtgt 2 metabase gtgt terimakasih,Error generating solution.
KB625,SaaS Access,halo it team kindly your assistance for providing access to the metabase and retool as it needed for my training session this afternoon thankyou,halo it team kindly your assistance for providing access to the metabase and retool as it needed for my training session this afternoon thankyou,Error generating solution.
KB626,SaaS Access,halo mas u052ct5eq15 dan mas u04e7cke54m due to my new role as fc procurement at east java please give me access to 1 retool to make cash advance approval 2 mc data and profile,halo mas u052ct5eq15 dan mas u04e7cke54m due to my new role as fc procurement at east java please give me access to 1 retool to make cash advance approval 2 mc data and profile,Error generating solution.
KB627,General IT Support,u052ct5eq15 hello team tolong dibantu tim it untuk bizom nya tidak bisa di klik done terimakasih,u052ct5eq15 hello team tolong dibantu tim it untuk bizom nya tidak bisa di klik done terimakasih,Error generating solution.
KB628,Employee Offboarding,offboarding arkia andita,offboarding arkia andita,Error generating solution.
KB629,Employee Offboarding,offboarding ardy prawira,offboarding ardy prawira,Error generating solution.
KB630,Employee Offboarding,offboarding muhammad gisdamuron,offboarding muhammad gisdamuron,Error generating solution.
KB631,Employee Onboarding,user onboarding firman,user onboarding firman,Error generating solution.
KB632,General IT Support,internalemailredacted need to check his gws storage,internalemailredacted need to check his gws storage,Error generating solution.
KB633,SaaS Access,installing power bi for chaerulanwar,installing power bi for chaerulanwar,Error generating solution.
KB634,Hardware,nurcahyas utama laptop lagging freeze after firmware update from dell,nurcahyas utama laptop lagging freeze after firmware update from dell,Error generating solution.
KB635,MFA,reset mfa for budhiyuwana,reset mfa for budhiyuwana,Error generating solution.
KB636,General IT Support,setup printer for internalemailredacted,setup printer for internalemailredacted,Error generating solution.
KB637,SaaS Access,installing tableau 2024 for wijaya sampurna,installing tableau 2024 for wijaya sampurna,Error generating solution.
KB638,SaaS Access,installing tableau 2024 for wijayasampurna,installing tableau 2024 for wijayasampurna,Error generating solution.
KB639,SaaS Access,retool access for elin,retool access for elin,Error generating solution.
KB640,MFA,reset mfa for didikkholistiawan due to user changing his mobile phone,reset mfa for didikkholistiawan due to user changing his mobile phone,Error generating solution.
KB641,Employee Offboarding,offboarding nike rahma,offboarding nike rahma,Error generating solution.
KB642,Employee Offboarding,offboarding tigin saputra,offboarding tigin saputra,Error generating solution.
KB643,SaaS Access,faulana reported that demand forcasting on retool was stuck at loading,faulana reported that demand forcasting on retool was stuck at loading,Error generating solution.
KB644,SaaS Access,fc retool access for sudiarto,fc retool access for sudiarto,Error generating solution.
KB645,Employee Offboarding,offboarding adhitya krisnanda ramadhan,offboarding adhitya krisnanda ramadhan,Error generating solution.
KB646,General IT Support,app instalation,app instalation,Error generating solution.
KB647,Employee Onboarding,onboarding elin sari,onboarding elin sari,Error generating solution.
KB648,MFA,reset mfa for jeffry hariwijaya,reset mfa for jeffry hariwijaya,Error generating solution.
KB649,Employee Offboarding,offboarding agus dermawansyah,offboarding agus dermawansyah,Error generating solution.
KB650,Employee Offboarding,offboardin mirfan saputra,offboardin mirfan saputra,Error generating solution.
KB651,Employee Onboarding,onboarding reza ferdhinawan,onboarding reza ferdhinawan,Error generating solution.
KB652,Employee Onboarding,onboarding vincent manek,onboarding vincent manek,Error generating solution.
KB653,Employee Onboarding,user onboarding dea puspitasari,user onboarding dea puspitasari,Error generating solution.
KB654,Account,okta mfa reset,okta mfa reset,Error generating solution.
KB655,Employee Offboarding,offboarding user bagas putranto,offboarding user bagas putranto,Error generating solution.
KB656,Employee Offboarding,offboarding herzi maulana,offboarding herzi maulana,Error generating solution.
KB657,SaaS Access,retool access for arkia,retool access for arkia,Error generating solution.
KB658,Employee Offboarding,offboarding lingga soekarno,offboarding lingga soekarno,Error generating solution.
KB659,Account,deactivate endahs slack account freelance user,deactivate endahs slack account freelance user,Error generating solution.
KB660,General IT Support,ardiwirawan microphone heavily noised distorted,ardiwirawan microphone heavily noised distorted,Error generating solution.
KB661,General IT Support,repairing office printer air bubbles inside printer tubes,repairing office printer air bubbles inside printer tubes,Error generating solution.
KB662,Employee Onboarding,onboarding adi purnomo,onboarding adi purnomo,Error generating solution.
KB663,MFA,reset mfa for faulananugraha due to user changed his mobile phone,reset mfa for faulananugraha due to user changed his mobile phone,Error generating solution.
KB664,Employee Offboarding,offboarding elizabaeth,offboarding elizabaeth,Error generating solution.
KB665,Employee Offboarding,offboarding agung sofian,offboarding agung sofian,Error generating solution.
KB666,Employee Offboarding,offboarding moh saputro,offboarding moh saputro,Error generating solution.
KB667,Employee Offboarding,offboarding sofian ardiansyah,offboarding sofian ardiansyah,Error generating solution.
KB668,Employee Offboarding,offboarding dwisuryaningtyas,offboarding dwisuryaningtyas,Error generating solution.
KB669,Employee Offboarding,user offboarding istigar prana,user offboarding istigar prana,Error generating solution.
KB670,Employee Offboarding,offboarding amirul huda,offboarding amirul huda,Error generating solution.
KB671,Employee Offboarding,offboarding ahmad yulianto,offboarding ahmad yulianto,Error generating solution.
KB672,Account,deactivated users offboarding user account internalemailredacted designation activation coordinator department operation location semarang country id,deactivated users offboarding user account internalemailredacted designation activation coordinator department operation location semarang country id,Error generating solution.
KB673,Hardware,feldiantoro cant access retool from his laptop,feldiantoro cant access retool from his laptop,Error generating solution.
KB674,Employee Offboarding,offboarding fathia,offboarding fathia,Error generating solution.
KB675,Employee Offboarding,user offboarding imam ghozali,user offboarding imam ghozali,Error generating solution.
KB676,Employee Offboarding,offboarding muhammad shiddiq ac chili wj,offboarding muhammad shiddiq ac chili wj,Error generating solution.
KB677,MFA,resetup ej warehouse printer setup printer for miftahulningtyas,resetup ej warehouse printer setup printer for miftahulningtyas,Error generating solution.
KB678,Employee Offboarding,offboarding nadia ifana,offboarding nadia ifana,Error generating solution.
KB679,Employee Offboarding,offboarding azizah,offboarding azizah,Error generating solution.
KB680,Account,sumedh cant sync his mobile gmail account on his mobile phone,sumedh cant sync his mobile gmail account on his mobile phone,Error generating solution.
KB681,Employee Onboarding,onboarding evi astuti,onboarding evi astuti,Error generating solution.
KB682,Employee Offboarding,offboarding arif suprapto,offboarding arif suprapto,Error generating solution.
KB683,MFA,reset mfa for farhanzamzami due to user changing his mobile phone,reset mfa for farhanzamzami due to user changing his mobile phone,Error generating solution.
KB684,Employee Offboarding,user offboarding fiona yasmine,user offboarding fiona yasmine,Error generating solution.
KB685,MFA,reset mfa for akbaribrahim due to user changing his mobile phone,reset mfa for akbaribrahim due to user changing his mobile phone,Error generating solution.
KB686,Employee Offboarding,deactivated user offboarding ryan hidayat,deactivated user offboarding ryan hidayat,Error generating solution.
KB687,Hardware,dwisyahfitri headphone cant connect to her laptop due to blocked headphone jack with foreign object,dwisyahfitri headphone cant connect to her laptop due to blocked headphone jack with foreign object,Error generating solution.
KB688,SaaS Access,retool module access for amin thohari,retool module access for amin thohari,Error generating solution.
KB689,Employee Offboarding,offboarding harissa hamida,offboarding harissa hamida,Error generating solution.
KB690,Hardware,hi team kindly help to fix the signal issue on my laptop sometimes the signal is getting very low and lost especially when the laptop just turned on thank you before u04e7cke54m u052ct5eq15,hi team kindly help to fix the signal issue on my laptop sometimes the signal is getting very low and lost especially when the laptop just turned on thank you before u04e7cke54m u052ct5eq15,Error generating solution.
KB691,Employee Offboarding,offboarding user adita muskarini,offboarding user adita muskarini,Error generating solution.
KB692,Account,deactivated users offboarding user account internalemailredacted designation junior procurement analyst department data analyst location makassar country id,deactivated users offboarding user account internalemailredacted designation junior procurement analyst department data analyst location makassar country id,Error generating solution.
KB693,Account,himas nuke report some ac facing issue login to jiva app,himas nuke report some ac facing issue login to jiva app,Error generating solution.
KB694,General IT Support,wifi to cj warehouse is disconnected and difficult to reconnect,wifi to cj warehouse is disconnected and difficult to reconnect,Error generating solution.
KB695,SaaS Access,tiginsaputra cant print from wireless printer due to invalid printer driver,tiginsaputra cant print from wireless printer due to invalid printer driver,Error generating solution.
KB696,Account,dear team please help unsuspend octa account of muhammad agung prasetyo mailtointernalemailredactedinternalemailredacted btw i hv informed them to weekly open octa but it happens again hmhm,dear team please help unsuspend octa account of muhammad agung prasetyo mailtointernalemailredactedinternalemailredacted btw i hv informed them to weekly open octa but it happens again hmhm,Error generating solution.
KB697,General IT Support,2 indibiz relocation for new input wh lampung,2 indibiz relocation for new input wh lampung,Error generating solution.
KB698,SaaS Access,installing power bi app for revianarief,installing power bi app for revianarief,Error generating solution.
KB699,General IT Support,cahyotrinugroho cant unmute microphone on google meet,cahyotrinugroho cant unmute microphone on google meet,Error generating solution.
KB700,Account,dear team please help unsuspend octa account of herzi maulana mailtointernalemailredactedinternalemailredacted thank you,dear team please help unsuspend octa account of herzi maulana mailtointernalemailredactedinternalemailredacted thank you,Error generating solution.
KB701,Account,activated users onboarding user account internalemailredacted designation feedmill agent department feedmill agent location surabaya join date 000 requested by hr mohammad margian,activated users onboarding user account internalemailredacted designation feedmill agent department feedmill agent location surabaya join date 000 requested by hr mohammad margian,Error generating solution.
KB702,Employee Onboarding,onboarding sultan hanafi,onboarding sultan hanafi,Error generating solution.
KB703,Employee Onboarding,user onboarding hikam kholiq,user onboarding hikam kholiq,Error generating solution.
KB704,Employee Onboarding,onboarding bagus wahyu,onboarding bagus wahyu,Error generating solution.
KB705,Account,activated users onboarding user account internalemailredacted designation feedmill agent department feedmill agent location semarang join date 19092022 requested by hr anindita utomo,activated users onboarding user account internalemailredacted designation feedmill agent department feedmill agent location semarang join date 19092022 requested by hr anindita utomo,Error generating solution.
KB706,General IT Support,yuda mukti,yuda mukti,Error generating solution.
KB707,Employee Onboarding,user onboarding yoppy bayu,user onboarding yoppy bayu,Error generating solution.
KB708,Account,activated users onboarding user account internalemailredacted designation feedmill agent department feedmill agent location semarang join date 000 requested by hr anindita utomo,activated users onboarding user account internalemailredacted designation feedmill agent department feedmill agent location semarang join date 000 requested by hr anindita utomo,Error generating solution.
KB709,Employee Onboarding,activated user onboarding donny roberto,activated user onboarding donny roberto,Error generating solution.
KB710,Account,activated users onboarding user account internalemailredacted designation feedmill agent department feedmill agent location surabaya join date 000 requested by hr mohammad margian,activated users onboarding user account internalemailredacted designation feedmill agent department feedmill agent location surabaya join date 000 requested by hr mohammad margian,Error generating solution.
KB711,Employee Onboarding,onboarding user ari aprilian,onboarding user ari aprilian,Error generating solution.
KB712,Account,activated users onboarding user account internalemailredacted designation feedmill agent department feedmill agent location lampung join date 000 requested by hr liya kurniawati,activated users onboarding user account internalemailredacted designation feedmill agent department feedmill agent location lampung join date 000 requested by hr liya kurniawati,Error generating solution.
KB713,Employee Onboarding,activated user onboarding ade suprayogie,activated user onboarding ade suprayogie,Error generating solution.
KB714,Employee Onboarding,user onboarding angga prananata,user onboarding angga prananata,Error generating solution.
KB715,Employee Onboarding,activated user onboardin akbar,activated user onboardin akbar,Error generating solution.
KB716,Account,activated users onboarding user account internalemailredacted designation feedmill agent department feedmill agent location lampung join date 000 requested by hr liya kurniawati,activated users onboarding user account internalemailredacted designation feedmill agent department feedmill agent location lampung join date 000 requested by hr liya kurniawati,Error generating solution.
KB717,Employee Onboarding,activated used onboarding rama nanda,activated used onboarding rama nanda,Error generating solution.
KB718,Employee Onboarding,onboarding taufiq mahardika,onboarding taufiq mahardika,Error generating solution.
KB719,MFA,reset mfa for ameliafauziah due to user changing her mobile phone,reset mfa for ameliafauziah due to user changing her mobile phone,Error generating solution.
KB720,Hardware,naufalafrianto laptop hangs when copypasting in gsheet,naufalafrianto laptop hangs when copypasting in gsheet,Error generating solution.
KB721,Employee Onboarding,activated user onboarding,activated user onboarding,Error generating solution.
KB722,Employee Offboarding,deactivated user offboarding nugroho saputro,deactivated user offboarding nugroho saputro,Error generating solution.
KB723,Employee Offboarding,deactivated user offboarding muslima kurniawati,deactivated user offboarding muslima kurniawati,Error generating solution.
KB724,Hardware,hermansyahdjamariss laptop wont charge,hermansyahdjamariss laptop wont charge,Error generating solution.
KB725,Account,dear team it kindly need your help to unsuspend okta account of sa ej dwi arum suryaningtyas mailtointernalemailredactedinternalemailredacted,dear team it kindly need your help to unsuspend okta account of sa ej dwi arum suryaningtyas mailtointernalemailredactedinternalemailredacted,Error generating solution.
KB726,Employee Offboarding,deactivated user offboarding internalemailredacted,deactivated user offboarding internalemailredacted,Error generating solution.
KB727,Employee Onboarding,onboarding user wahyu saputra,onboarding user wahyu saputra,Error generating solution.
KB728,Employee Onboarding,onboarding affan prasetya,onboarding affan prasetya,Error generating solution.
KB729,Employee Offboarding,deactivated user offboarding bayu pratomo,deactivated user offboarding bayu pratomo,Error generating solution.
KB730,General IT Support,test,test,Error generating solution.
KB731,MFA,reset mfa for adhityaramadhan due to user changing his mobile device,reset mfa for adhityaramadhan due to user changing his mobile device,Error generating solution.
KB732,Hardware,ardiwirawans laptop wont connect to wireless printer,ardiwirawans laptop wont connect to wireless printer,Error generating solution.
KB733,Employee Offboarding,deactivated user offboarding heri siswanto,deactivated user offboarding heri siswanto,Error generating solution.
KB734,Employee Offboarding,deactivated user offboarding syafrie herlambang,deactivated user offboarding syafrie herlambang,Error generating solution.
KB735,Employee Offboarding,user offboarding rival wariansyah,user offboarding rival wariansyah,Error generating solution.
KB736,Employee Offboarding,user offboarding yanda akbar,user offboarding yanda akbar,Error generating solution.
KB737,MFA,mila hardian request for additional mobile phone for agriaku app,mila hardian request for additional mobile phone for agriaku app,Error generating solution.
KB738,SaaS Access,reset mfa for lastianingrumpangest due to user uninstalled the apps after her phone overloaded,reset mfa for lastianingrumpangest due to user uninstalled the apps after her phone overloaded,Error generating solution.
KB739,Employee Offboarding,offboarding jaenal asrori,offboarding jaenal asrori,Error generating solution.
KB740,Employee Offboarding,user offboarding sunardi,user offboarding sunardi,Error generating solution.
KB741,Employee Onboarding,onboarding adityo mahardika,onboarding adityo mahardika,Error generating solution.
KB742,Employee Offboarding,offboarding user angga febrianto,offboarding user angga febrianto,Error generating solution.
KB743,SaaS Access,selamat siang pak email atas nama ari yusniar internalemailredacted tersuspend mohon untuk di aktifkan kembali terimakasih banyak fajar pradipta fau terima kasih,selamat siang pak email atas nama ari yusniar internalemailredacted tersuspend mohon untuk di aktifkan kembali terimakasih banyak fajar pradipta fau terima kasih,Error generating solution.
KB744,General IT Support,printer maintenance for cj office,printer maintenance for cj office,Error generating solution.
KB745,SaaS Access,getarsentosa reported that internalemailredacted cant receive email from outside user,getarsentosa reported that internalemailredacted cant receive email from outside user,Error generating solution.
KB746,SaaS Access,himas nuke access on retail dashboard,himas nuke access on retail dashboard,Error generating solution.
KB747,SaaS Access,nurchaya utama access on mail group to send email,nurchaya utama access on mail group to send email,Error generating solution.
KB748,Account,selamat siang kakak akun okta saya tersuspend minta tolong bantuan nya request unsuspendnya kakak terimakasih,selamat siang kakak akun okta saya tersuspend minta tolong bantuan nya request unsuspendnya kakak terimakasih,Error generating solution.
KB749,Hardware,pagi pak mohon bantuannya charger laptop saya kadang gabisa dipakai harus diikat fajar pradipta gharim,pagi pak mohon bantuannya charger laptop saya kadang gabisa dipakai harus diikat fajar pradipta gharim,Error generating solution.
KB750,Employee Offboarding,offboarding linggar maulana,offboarding linggar maulana,Error generating solution.
KB751,Hardware,bellaakhmad laptop randomly disconnected from network,bellaakhmad laptop randomly disconnected from network,Error generating solution.
KB752,General IT Support,printer setup for bellaakhmad in cj warehouse,printer setup for bellaakhmad in cj warehouse,Error generating solution.
KB753,Account,activated users onboarding user account internalemailredacted designation sales coordinator department commercial agriinput location semarang join date 08032024 requested by hr kariena,activated users onboarding user account internalemailredacted designation sales coordinator department commercial agriinput location semarang join date 08032024 requested by hr kariena,Error generating solution.
KB754,Account,hi it team tolong bantuan okta verify saya tidak bisa login di device yg lain thankyou,hi it team tolong bantuan okta verify saya tidak bisa login di device yg lain thankyou,Error generating solution.
KB755,Account,activated users onboarding user account internalemailredacted designation depot supervisor department operation location semarang join date 1642024 requested by hr anindita utomo,activated users onboarding user account internalemailredacted designation depot supervisor department operation location semarang join date 1642024 requested by hr anindita utomo,Error generating solution.
KB756,Account,reset mfa for salman due to user accidentally uninstalled his okta verify,reset mfa for salman due to user accidentally uninstalled his okta verify,Error generating solution.
KB757,MFA,reset mfa for gada iswara due to user changing his mobile phone,reset mfa for gada iswara due to user changing his mobile phone,Error generating solution.
KB758,Account,activated users onboarding user account internalemailredacted designation sales coordinator department commercial agriinput location surabaya join date 2532024 requested by hr kariena,activated users onboarding user account internalemailredacted designation sales coordinator department commercial agriinput location surabaya join date 2532024 requested by hr kariena,Error generating solution.
KB759,Account,activated users onboarding user account internalemailredacted designation sales coordinator department commercial agriinput location lampung join date 2532024 requested by hr kariena,activated users onboarding user account internalemailredacted designation sales coordinator department commercial agriinput location lampung join date 2532024 requested by hr kariena,Error generating solution.
KB760,Account,activated users onboarding user account internalemailredacted designation sales coordinator department commercial agriinput location semarang join date 2532024 requested by hr kariena,activated users onboarding user account internalemailredacted designation sales coordinator department commercial agriinput location semarang join date 2532024 requested by hr kariena,Error generating solution.
KB761,Account,activated users onboarding user account internalemailredacted designation sales acquisition coordinator department commercial agriinput location lampung join date 2532024 requested hr kariena,activated users onboarding user account internalemailredacted designation sales acquisition coordinator department commercial agriinput location lampung join date 2532024 requested hr kariena,Error generating solution.
KB762,Account,activated users onboarding user account internalemailredacted designation delivery assisstant department fulfillment location makassar join date 142024 requested by hr bhakti moo,activated users onboarding user account internalemailredacted designation delivery assisstant department fulfillment location makassar join date 142024 requested by hr bhakti moo,Error generating solution.
KB763,Account,deactivated users offboarding user account internalemailredacted designation sales coordinator department commercial agriinput location surabaya country id,deactivated users offboarding user account internalemailredacted designation sales coordinator department commercial agriinput location surabaya country id,Error generating solution.
KB764,Account,internalemailredacted request to reset her okta password,internalemailredacted request to reset her okta password,Error generating solution.
KB765,MFA,reset mfa for shofibalqissafira due to user changing her mobile phone,reset mfa for shofibalqissafira due to user changing her mobile phone,Error generating solution.
KB766,Account,deactivated users offboarding user account internalemailredacted designation depot supervisor department operation location semarang country id,deactivated users offboarding user account internalemailredacted designation depot supervisor department operation location semarang country id,Error generating solution.
KB767,Account,deactivated users offboarding user account internalemailredacted designation activation coordinator department operation location semarang country id,deactivated users offboarding user account internalemailredacted designation activation coordinator department operation location semarang country id,Error generating solution.
KB768,General IT Support,asepputra cant join to google meet,asepputra cant join to google meet,Error generating solution.
KB769,Account,deactivated users offboarding user account internalemailredacted designation sales coordinator department commercial agriinput location semarang country id,deactivated users offboarding user account internalemailredacted designation sales coordinator department commercial agriinput location semarang country id,Error generating solution.
KB770,General IT Support,virgeenanuvi printer error due to foreign particles stuck on the roller,virgeenanuvi printer error due to foreign particles stuck on the roller,Error generating solution.
KB771,Account,deactivated users offboarding user account internalemailredacted designation field coordinator department operation location lombok country id,deactivated users offboarding user account internalemailredacted designation field coordinator department operation location lombok country id,Error generating solution.
KB772,Account,deactivated users offboarding user account internalemailredacted designation sales coordinator department commercial agriinput location surabaya country id,deactivated users offboarding user account internalemailredacted designation sales coordinator department commercial agriinput location surabaya country id,Error generating solution.
KB773,SaaS Access,virgeenanuvi cant access to retool,virgeenanuvi cant access to retool,Error generating solution.
KB774,Account,activated users onboarding user account internalemailredacted designation fulfillment executive department fulfilment location surabaya join date 01042024 requested by hr margian,activated users onboarding user account internalemailredacted designation fulfillment executive department fulfilment location surabaya join date 01042024 requested by hr margian,Error generating solution.
KB775,Account,activated users onboarding user account internalemailredacted designation sales coordinator department commercial agriinput location semarang join date 1832024 requested by hr kariena,activated users onboarding user account internalemailredacted designation sales coordinator department commercial agriinput location semarang join date 1832024 requested by hr kariena,Error generating solution.
KB776,Account,deactivated users offboarding user account internalemailredacted designation activation coordinator department operation location surabaya country id,deactivated users offboarding user account internalemailredacted designation activation coordinator department operation location surabaya country id,Error generating solution.
KB777,Account,reset mfa password for chusnunnisa due to user changing her mobile phone,reset mfa password for chusnunnisa due to user changing her mobile phone,Error generating solution.
KB778,General IT Support,dot matrix printer setup for mohsaputro,dot matrix printer setup for mohsaputro,Error generating solution.
KB779,Account,activated users onboarding user account internalemailredacted designation regional commercial manager department commercial agriinput location surabaya join date 2832024,activated users onboarding user account internalemailredacted designation regional commercial manager department commercial agriinput location surabaya join date 2832024,Error generating solution.
KB780,Account,activated users onboarding user account internalemailredacted designation sales acquisition coordinator department commercial agriinput location makassar join date 1232024,activated users onboarding user account internalemailredacted designation sales acquisition coordinator department commercial agriinput location makassar join date 1232024,Error generating solution.
KB781,Account,activated users onboarding user account internalemailredacted designation sales acquisition coordinator department commercial agriinput location surabaya join date 13032024,activated users onboarding user account internalemailredacted designation sales acquisition coordinator department commercial agriinput location surabaya join date 13032024,Error generating solution.
KB782,Account,activated users onboarding user account internalemailredacted designation sales coordinator department commercial agriinput location surabaya join date 13032024 requested kariena permanasari,activated users onboarding user account internalemailredacted designation sales coordinator department commercial agriinput location surabaya join date 13032024 requested kariena permanasari,Error generating solution.
KB783,Account,activated users onboarding user account internalemailredacted designation sales acquisition coordinator department commercial agriinput location surabaya join date 13032024,activated users onboarding user account internalemailredacted designation sales acquisition coordinator department commercial agriinput location surabaya join date 13032024,Error generating solution.
KB784,Account,activated users onboarding user account internalemailredacted designation sales acquisition coordinator department commercial agriinput location surabaya join date 13032024,activated users onboarding user account internalemailredacted designation sales acquisition coordinator department commercial agriinput location surabaya join date 13032024,Error generating solution.
KB785,Account,activated users onboarding user account internalemailredacted designation sales coordinator department commercial agriinput location semarang join date 1232024 requested kariena permanasari,activated users onboarding user account internalemailredacted designation sales coordinator department commercial agriinput location semarang join date 1232024 requested kariena permanasari,Error generating solution.
KB786,General IT Support,nauvalsiregar cant connect to wifi,nauvalsiregar cant connect to wifi,Error generating solution.
KB787,Hardware,nauvalsiregar laptop wont boot into desktop,nauvalsiregar laptop wont boot into desktop,Error generating solution.
KB788,SaaS Access,email jiva saya tiba2 keluar sendiri dan tidak bisa masuk lagi yanda internalemailredacted,email jiva saya tiba2 keluar sendiri dan tidak bisa masuk lagi yanda internalemailredacted,Error generating solution.
KB789,General IT Support,erwinkusumah cant use camera and mic on meeting,erwinkusumah cant use camera and mic on meeting,Error generating solution.
